country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-06-2026 11:00:00",28.815329,77.153010,PM2.5,23,338,130
India,Delhi,Delhi,"Alipur, Delhi - DPCC","23-06-2026 11:00:00",28.815329,77.153010,NH3,10,17,12
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","23-06-2026 11:00:00",28.647622,77.3158090,PM10,120,427,231
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","23-06-2026 11:00:00",28.695381,77.181665,PM2.5,23,302,98
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","23-06-2026 11:00:00",28.695381,77.181665,SO2,14,42,22
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","23-06-2026 11:00:00",28.4706914,77.1099364,PM10,49,212,122
India,Delhi,Delhi,"Bawana, Delhi - DPCC","23-06-2026 11:00:00",28.776200,77.051074,NO2,7,34,19
India,Delhi,Delhi,"Bawana, Delhi - DPCC","23-06-2026 11:00:00",28.776200,77.051074,SO2,8,102,30
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","23-06-2026 11:00:00",28.7256504,77.2011573,OZONE,1,83,26
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","23-06-2026 11:00:00","28.615828 ","77.271992 ",PM2.5,38,174,80
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","23-06-2026 11:00:00","28.615828 ","77.271992 ",OZONE,1,95,22
India,Delhi,Delhi,"DTU, Delhi - CPCB","23-06-2026 11:00:00",28.7500499,77.1112615,PM2.5,17,317,117
India,Delhi,Delhi,"DTU, Delhi - CPCB","23-06-2026 11:00:00",28.7500499,77.1112615,SO2,32,34,33
India,Delhi,Delhi,"DTU, Delhi - CPCB","23-06-2026 11:00:00",28.7500499,77.1112615,CO,16,42,35
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","23-06-2026 11:00:00","14.438164 ","79.966814 ",OZONE,27,57,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-06-2026 11:00:00",16.9872867,81.7363176,CO,6,39,15
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","23-06-2026 11:00:00",13.67,79.35,OZONE,13,111,47
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","23-06-2026 11:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","23-06-2026 11:00:00",13.615387,79.409230,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","23-06-2026 11:00:00",16.536107,80.594233,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","23-06-2026 11:00:00",16.486692,80.699436,PM10,53,81,60
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","23-06-2026 11:00:00",16.509717,80.612222,NH3,2,7,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","23-06-2026 11:00:00",16.509717,80.612222,SO2,12,20,15
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-06-2026 11:00:00",16.5150833,80.5181667,PM2.5,6,38,23
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-06-2026 11:00:00",16.5150833,80.5181667,PM10,16,81,38
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-06-2026 11:00:00",16.5150833,80.5181667,SO2,9,36,20
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","23-06-2026 11:00:00",16.5150833,80.5181667,OZONE,13,59,26
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","23-06-2026 11:00:00",13.204880,79.097889,NO2,24,36,34
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","23-06-2026 11:00:00",13.204880,79.097889,NH3,6,9,8
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","23-06-2026 11:00:00",14.465052,78.824187,PM2.5,46,73,67
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","23-06-2026 11:00:00",14.465052,78.824187,NH3,3,6,5
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","23-06-2026 11:00:00",16.186555,81.13219,NO2,14,35,21
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","23-06-2026 11:00:00",20.362421,72.918013,OZONE,4,17,5
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","23-06-2026 11:00:00",30.379589,76.778328,PM2.5,NA,NA,NA
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","23-06-2026 11:00:00",28.6701,76.9254,SO2,6,7,6
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","23-06-2026 11:00:00",28.6701,76.9254,CO,45,52,47
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","23-06-2026 11:00:00",28.6701,76.9254,OZONE,23,28,25
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","23-06-2026 11:00:00",28.3419248,77.319699,PM2.5,45,262,145
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","23-06-2026 11:00:00",28.3419248,77.319699,PM10,107,398,236
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","23-06-2026 11:00:00",28.3419248,77.319699,CO,27,87,42
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","23-06-2026 11:00:00",28.806223,76.141105,PM10,93,125,100
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","23-06-2026 11:00:00",28.806223,76.141105,NO2,7,10,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","23-06-2026 11:00:00",28.806223,76.141105,NH3,1,3,2
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","23-06-2026 11:00:00",28.806223,76.141105,SO2,1,11,3
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","23-06-2026 11:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","23-06-2026 11:00:00",28.593883,76.270653,SO2,10,11,10
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","23-06-2026 11:00:00",28.206800,76.799700,NO2,12,62,42
